TIME_PERIOD,MAT,OBS_VALUE
2007-11-06,12,0.655
2007-11-06,24,0.771
2007-11-06,36,0.849
2007-11-06,48,0.995
2007-11-06,60,1.102
2007-11-06,72,1.181
2007-11-06,84,1.249
2007-11-06,96,1.352
2007-11-06,108,1.477
2007-11-06,120,1.583
2007-11-06,180,1.916
2007-11-06,240,2.133
2007-11-06,300,2.281
2007-11-06,360,2.378
2007-11-06,480,2.439
2007-11-07,12,0.655
2007-11-07,24,0.771
2007-11-07,36,0.845
2007-11-07,48,0.987
2007-11-07,60,1.091
2007-11-07,72,1.17
2007-11-07,84,1.234
2007-11-07,96,1.338
2007-11-07,108,1.467
2007-11-07,120,1.58
2007-11-07,180,1.916
2007-11-07,240,2.133
2007-11-07,300,2.285
2007-11-07,360,2.383
2007-11-07,480,2.442
2007-11-08,12,0.653
2007-11-08,24,0.766
2007-11-08,36,0.838
2007-11-08,48,0.972
2007-11-08,60,1.075
2007-11-08,72,1.147
2007-11-08,84,1.207
2007-11-08,96,1.312
2007-11-08,108,1.444
2007-11-08,120,1.556
2007-11-08,180,1.904
2007-11-08,240,2.12
2007-11-08,300,2.277
2007-11-08,360,2.374
2007-11-08,480,2.435
2007-11-09,12,0.653
2007-11-09,24,0.766
2007-11-09,36,0.833
2007-11-09,48,0.967
2007-11-09,60,1.071
2007-11-09,72,1.138
2007-11-09,84,1.195
2007-11-09,96,1.3
2007-11-09,108,1.435
2007-11-09,120,1.547
2007-11-09,180,1.894
2007-11-09,240,2.112
2007-11-09,300,2.271
2007-11-09,360,2.368
2007-11-09,480,2.429
2007-11-12,12,0.656
2007-11-12,24,0.767
2007-11-12,36,0.83
2007-11-12,48,0.963
2007-11-12,60,1.068
2007-11-12,72,1.139
2007-11-12,84,1.195
2007-11-12,96,1.292
2007-11-12,108,1.421
2007-11-12,120,1.534
2007-11-12,180,1.88
2007-11-12,240,2.094
2007-11-12,300,2.257
2007-11-12,360,2.352
2007-11-12,480,2.414
2007-11-13,12,0.646
2007-11-13,24,0.753
2007-11-13,36,0.818
2007-11-13,48,0.943
2007-11-13,60,1.049
2007-11-13,72,1.116
2007-11-13,84,1.172
2007-11-13,96,1.265
2007-11-13,108,1.393
2007-11-13,120,1.505
2007-11-13,180,1.853
2007-11-13,240,2.068
2007-11-13,300,2.232
2007-11-13,360,2.322
2007-11-13,480,2.387
2007-11-14,12,0.657
2007-11-14,24,0.763
2007-11-14,36,0.839
2007-11-14,48,0.979
2007-11-14,60,1.088
2007-11-14,72,1.155
2007-11-14,84,1.214
2007-11-14,96,1.305
2007-11-14,108,1.427
2007-11-14,120,1.538
2007-11-14,180,1.876
2007-11-14,240,2.09
2007-11-14,300,2.25
2007-11-14,360,2.339
2007-11-14,480,2.404
2007-11-15,12,0.639
2007-11-15,24,0.75
2007-11-15,36,0.816
2007-11-15,48,0.95
2007-11-15,60,1.058
2007-11-15,72,1.123
2007-11-15,84,1.181
2007-11-15,96,1.275
2007-11-15,108,1.407
2007-11-15,120,1.519
2007-11-15,180,1.863
2007-11-15,240,2.08
2007-11-15,300,2.241
2007-11-15,360,2.33
2007-11-15,480,2.396
2007-11-16,12,0.637
2007-11-16,24,0.739
2007-11-16,36,0.805
2007-11-16,48,0.936
2007-11-16,60,1.044
2007-11-16,72,1.103
2007-11-16,84,1.161
2007-11-16,96,1.252
2007-11-16,108,1.378
2007-11-16,120,1.491
2007-11-16,180,1.84
2007-11-16,240,2.059
2007-11-16,300,2.224
2007-11-16,360,2.312
2007-11-16,480,2.38
2007-11-19,12,0.637
2007-11-19,24,0.735
2007-11-19,36,0.811
2007-11-19,48,0.944
2007-11-19,60,1.049
2007-11-19,72,1.106
2007-11-19,84,1.163
2007-11-19,96,1.252
2007-11-19,108,1.374
2007-11-19,120,1.487
2007-11-19,180,1.833
2007-11-19,240,2.05
2007-11-19,300,2.219
2007-11-19,360,2.305
2007-11-19,480,2.373
2007-11-20,12,0.637
2007-11-20,24,0.74
2007-11-20,36,0.819
2007-11-20,48,0.954
2007-11-20,60,1.054
2007-11-20,72,1.112
2007-11-20,84,1.167
2007-11-20,96,1.257
2007-11-20,108,1.379
2007-11-20,120,1.492
2007-11-20,180,1.833
2007-11-20,240,2.05
2007-11-20,300,2.215
2007-11-20,360,2.301
2007-11-20,480,2.371
2007-11-21,12,0.627
2007-11-21,24,0.73
2007-11-21,36,0.805
2007-11-21,48,0.933
2007-11-21,60,1.024
2007-11-21,72,1.083
2007-11-21,84,1.135
